symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
PTH,0.5318257032542746,,0.0
HIC1,-0.1157198014340871,,0.0
EXOC2,-0.5372311086596802,,0.0
SCIMP,0.4738003309431882,,0.0
COMP,0.1894098179812464,,0.0
NDUFS4,0.6965250965250964,,0.0240490835716714
FAM20B,-0.3643684500827358,,0.0210411011712605
GRIK5,-0.5780474351902923,0,0.0
SPPL2A,0.1911748483177053,,0.0
NFIB,-0.8863761720904578,,0.0145929152909688
DOCK3,-0.8881412024269167,,0.0
KRT86,0.1389961389961389,,0.0
IPO13,-0.8686155543298401,,0.0
S100A13,0.5662437948152235,,0.0
FADS1,-0.7642581356867071,,0.0
MVP,-0.0493105350248207,,0.0
KIT,-0.9308328736900164,0,0.0
LAMTOR1,-0.2924434638720353,,0.0
CAV1,-0.0017650303364589,,0.0365193293227898
COX7A1,0.9489244346387204,,0.0382103585818321
MAP4K2,-0.1755102040816326,1,0.0
PPP1R12A,-0.9777164920022064,,0.0202676617790573
ACY3,0.383011583011583,,0.0
ADORA2B,0.6159955874241589,1,0.0
PTPRN2,-0.2687258687258687,,0.0479817595417631
NUAK2,-0.0116933259790402,1,0.0
HCN2,-0.5353557639271924,,0.0
LCMT1,-0.022504136789851,,0.0
ARMH3,-0.3410921125206839,,0.0
EVX2,0.4254826254826254,,0.0
KMT2B,-0.987865416436845,,0.0
IRF4,-0.8116933259790402,,0.0
PAPSS1,0.0251516822945394,,0.0340186583925997
ITGB4,-0.1876447876447876,,0.012270331535468
FUZ,0.309873138444567,,0.0
HES4,0.9762824048538334,,0.0
MTHFS,0.0411472697186983,,0.0
VEGFC,-0.8155543298400441,,0.0
PURA,-0.9846662989520132,,0.0
KMT2C,-0.95565361279647,,0.0
GMPR,0.4115830115830117,,0.0123336987284411
CSNK2B,-0.9322669608383894,,0.0
AFF3,-0.8734693877551021,,0.0102195690155397
FECH,-0.1880860452289023,,0.0
GLIS3,-0.1996690568119139,,0.0
ECHDC3,0.7490347490347491,,0.0
TPST2,-0.0211803640375068,,0.0
MAPK14,-0.6155543298400441,1,0.0244452478305621
MRPS17,0.048869277440706,,0.0
NME4,0.7430777716492003,,0.0
MTHFD1L,-0.1932708218422504,,0.0
NKX2-3,-0.6196359624931054,,0.0
PPP4R1,-0.6650854936569222,,0.0
AASS,-0.036403750689465,,0.0
PSG2,0.7956977385548814,,0.0
CTCF,-0.9525648097076668,,0.0
PIM1,-0.7522338665195808,1,0.0
FARP1,-0.6333149476006619,,0.0
PTPRD,-0.9538885824600112,,0.0
ECE1,-0.7071152785438499,0,0.0
PIK3C2A,-0.5271924986210701,,0.0468928315975651
DYRK1B,-0.6335355763927193,1,0.0
ARL1,-0.1088803088803088,,0.0
SLC25A4,-0.4531715388858246,,0.0618662295436067
DSTN,0.0635410921125207,,0.0401058588789016
EPHX2,0.2219525648097076,1,0.0
MRPL33,0.2927744070601212,,0.0
CDC42EP5,0.988196359624931,,0.0
FGGY,0.3883066740209597,,0.0
PTGFR,-0.210369553226696,1,0.0
DHX30,-0.9982349696635412,,0.0
BARHL2,-0.5335907335907336,,0.0
TCF7L2,-0.7158301158301159,,0.0711194875635599
TRIM48,0.7319360176503034,,0.0
MRPL42,0.5991174848317706,,0.0115036332200706
PPP1CA,-0.6272476558190844,,0.0309324613505269
TRAPPC3,-0.5377826806398235,,0.0
LIPG,-0.1496966354109211,,0.0
AKAP8L,-0.5782680639823496,,0.0
UBE2V2,0.3819084390512961,,0.0
ARHGEF17,-0.6081632653061224,,0.0
MAST2,-0.6004412575841147,,0.0538754187991707
NCOR2,-0.7423055708769994,0,0.0
NME9,0.5982349696635412,,0.0
MYL6B,0.2062879205736347,,0.0498770842537513
NBPF4,0.8177606177606178,,0.0
DIRAS2,-0.3157198014340872,,0.0
AOPEP,0.0177606177606177,,0.0
RAB20,0.8154440154440155,,0.0
PANK3,-0.3603971318257032,1,0.0
NEK1,-0.0170987313844456,,0.0454571293238357
MRPL45,-0.2764478764478765,,0.0
PPP3R1,-0.468946497517926,,0.0
CCN3,-0.0025372311086596,,0.0107395847511448
WNK3,0.0,,0.0218060963018228
